Date,AMZN_Ret_1D,BRK-B_Ret_1D,GOOGL_Ret_1D,LLY_Ret_1D,NVDA_Ret_1D,WMT_Ret_1D,XOM_Ret_1D,AMZN_Ret_1W,BRK-B_Ret_1W,GOOGL_Ret_1W,LLY_Ret_1W,NVDA_Ret_1W,WMT_Ret_1W,XOM_Ret_1W,AMZN_Ret_1M,BRK-B_Ret_1M,GOOGL_Ret_1M,LLY_Ret_1M,NVDA_Ret_1M,WMT_Ret_1M,XOM_Ret_1M,AMZN_Ret_3M,BRK-B_Ret_3M,GOOGL_Ret_3M,LLY_Ret_3M,NVDA_Ret_3M,WMT_Ret_3M,XOM_Ret_3M
2025-01-29,-0.004534900692607424,-0.0015107165419792068,0.0005632529269372633,-0.0011305247980423205,-0.0410109434462389,0.0021584569369719198,0.00583108462996873,0.008765639187838348,0.01900067276377615,-0.014921622342172425,0.06644731549997651,-0.15890412522800457,0.04580064091584535,-0.007851714477254967,0.044131266847756034,0.022174835521297398,-0.0009714846222353968,0.01251656316026839,-0.11598657380041055,0.050759599299525116,0.02047129236018641,0.26215197259835743,0.033589567789204855,0.18372331413214038,-0.09778007712314507,-0.12598185043432641,0.1842930183500915,-0.08307850247043502
2025-01-30,-0.010250170242948609,0.006584827757715628,0.027941182930931507,0.02381600222462854,0.007679894296106049,0.011794866995453734,0.008281944773216088,-0.0033132222638839748,0.02722749689418613,0.014597321633135207,0.07387154940786278,-0.153307966262487,0.05159362792827871,-0.0052655617676288236,0.04867038833362436,0.034698026328103815,0.042073041939200584,0.05115113511101521,-0.09021232497777998,0.0762600144197858,0.029019527659045474,0.2455013543704132,0.03022970220583332,0.20621514510470962,-0.0792736768479303,-0.11287659542387252,0.19478620560215143,-0.07089698559120627
2025-01-31,0.012955989149507907,-0.007790817462114741,0.015681831797054846,-0.014758895617929424,-0.03674293172733545,-0.00496696736243718,-0.025006749030444198,0.012050187348167318,0.011831021735019709,0.019029932969296448,0.032683673576000105,-0.15811240151366457,0.035880169795444505,-0.01684147159263183,0.07401712335355226,0.036513644798098044,0.06682696041955749,0.0481235779970417,-0.12670001039123446,0.0838025946100831,0.010117300841386623,0.24550642139700707,0.030904972199749414,0.20375886914831565,-0.10088401128232827,-0.14988830999568803,0.20413094263630516,-0.08161794520589483
2025-02-03,-0.0010938846972727845,-0.008662871444404696,-0.013675129933420127,-0.0008014001796170511,-0.02840002898429128,0.014058688566846778,0.00243373851620432,0.008495454997687668,-0.021255585835266766,0.049111005031483135,0.0027964869771732737,-0.014862279816107549,0.02197121242964517,-0.02795682025222146,0.08218240954217171,0.02499555816002874,0.0630217024662898,0.04977971357249866,-0.1312830140940835,0.10171560456644357,-0.00446221012010084,0.23187881197581817,0.021210642864708307,0.15476680688476452,-0.041398804434790715,-0.16270957386182505,0.22571006576105135,-0.07472810832656018
2025-02-04,0.019543422733693472,0.006198758041399577,0.025592666175063616,0.019298439681993518,0.017058061271298497,0.012356732620047994,0.026799845739912564,0.01641823960662747,-0.0052769559331160565,0.05673329000618521,0.026186633318612262,-0.08016127619895108,0.03576929405041329,0.01777111891012817,0.09917353653995642,0.03633337155641336,0.08947902601155544,0.06169113499095924,-0.1421444348861065,0.11966671624354053,0.024694809026869935,0.2986051796386844,0.03674704229843684,0.2075069310388653,-0.0027741815062213293,-0.10622039964999863,0.23237666876456697,-0.05066317603216375
2025-02-05,-0.024332807771026643,0.013347923768003422,-0.07292374002438373,0.019501973903955916,0.052085925674161926,0.01677086378101955,-0.0007275493789513643,-0.003796385571636529,0.009525638511015844,-0.02087914639595545,0.04738339115894319,0.009134951632176591,0.050871778309734994,0.011134628573148397,0.05343679734634965,0.04447044169747061,-0.002398470247874984,0.07698418277846542,-0.1359452333546578,0.12866255059901044,0.01872791950123487,0.19319965092810887,0.04775068704033636,0.11827481070600765,0.03009397159133198,-0.07800152806233374,0.24938552766544642,-0.036251460057064255
2025-02-06,0.011263088803542765,0.00736704484292372,0.001411231201877916,0.03347264670945416,0.03084195149066793,0.003806403972414385,-0.01319625116598433,0.017857153308495466,0.010310140900305687,-0.04614910290159946,0.05726232353131855,0.03233045409187696,0.04257478984218954,-0.010404334596810338,0.04929485167881875,0.057176396954448316,-0.026768830038672586,0.1375898833854603,-0.1388609574256402,0.12490426835224855,0.006404301795616574,0.21988968903962536,0.07897531484081344,0.13341755810901956,0.081464042598961,-0.05410619682901996,0.2501865850517644,-0.07831573969593397
2025-02-07,-0.04053095448794508,-0.009387726781921346,-0.032672358574513005,0.009122617434825564,0.009014508191179216,-0.01652898713629336,0.004242439073111504,-0.03588858567045072,0.00868409902497036,-0.09155966989262398,0.08288957747687431,0.08136907554094486,0.03046034746641557,0.019282916812425333,0.03169597616850717,0.04376043499743254,-0.05192087150342972,0.1358095249341511,-0.07349796965670963,0.11386408075864596,0.0012873777203086245,0.14862152329064848,0.06219384538628869,0.09315671345178544,0.09143818200093712,-0.07191102467108479,0.21144955923658237,-0.07712874425107841
2025-02-10,0.017412199866636335,-0.005436343147882328,0.0060969129183174875,-0.010736553913146207,0.02872776117199205,0.017498892042129288,0.019101868534302735,-0.018027119923787027,0.011967086914769443,-0.07334891430869828,0.07212227412936856,0.14495103053464087,0.033956193721137895,0.036231209282912236,0.04956554389239032,0.04056749565865436,-0.038566688802449955,0.1037321262820432,-0.04667771042532709,0.12113304559641969,0.03778175399961148,0.12579073597188306,0.0027085083126070497,0.05763813342162449,0.12099616876536823,-0.08262354785633375,0.23619403172225395,-0.07535655967677735
2025-02-11,-0.0016299428832775575,0.005189552404756048,-0.006167082913387301,-0.004465598128974957,-0.0057646316166702904,-0.004372368327231979,0.006307899039519338,-0.03842023938509964,0.010952095711441068,-0.10204471815434779,0.04712669553480042,0.11925843073459341,0.016870163685994033,0.015551039921757104,0.06312227967170259,0.06765910956869403,-0.03499253449279849,0.08138498066495514,-0.022882765778972636,0.10182786381642517,0.04815078575945719,0.10811707272140447,0.02712272691699047,0.02645865183990459,0.08650400745226472,-0.10794500597910439,0.2247708338416876,-0.07067607638326712
